id	url	source	notes
1	https://jobs.lever.co/dlocal/1244cc72-c553-40ce-ac1a-afc2a5bb4dc3	pipeline	dLocal — Cloud Architect — Spain
2	https://job-boards.greenhouse.io/canonical/jobs/5739500	pipeline	Canonical — Observability Engineering Manager — Americas + EMEA
3	https://job-boards.greenhouse.io/canonical/jobs/4676649	pipeline	Canonical — Cloud Engineering Manager — Worldwide
4	https://job-boards.greenhouse.io/canonical/jobs/5915936	pipeline	Canonical — Cloud Solutions Architect - Alliances — Worldwide
5	https://jobs.ashbyhq.com/supabase/847a7bd7-6b75-444a-aeda-d0b28a11c764	pipeline	Supabase — Platform Engineer - Multicloud — Remote
6	https://jobs.ashbyhq.com/resend/cde17f7c-4c70-435f-be38-ef5abe94ff22	pipeline	Resend — Security Engineer, Platform — Americas / Remote
7	https://jobs.ashbyhq.com/workos/cff5a16f-fd1c-4b64-9b66-8a8321122375	pipeline	WorkOS — Site Reliability Engineer — US & Canada
8	https://jobs.ashbyhq.com/workos/26a54ffa-9465-4d13-bc5f-db41a2bbe505	pipeline	WorkOS — Infrastructure Engineer — US & Canada
9	https://jobs.ashbyhq.com/workos/7757900a-02fb-40fd-b484-923bcffd91bf	pipeline	WorkOS — Systems Engineer — US & Canada
10	https://jobs.ashbyhq.com/inngest/ae72d036-b98b-4abb-8454-a687870cf0ca	pipeline	Inngest — Distributed Systems Engineer - Platform — US/Remote
11	https://job-boards.greenhouse.io/typeform/jobs/7686285	pipeline	Typeform — DevSecOps Engineer — Ireland/Netherlands/UK Remote
12	https://job-boards.greenhouse.io/typeform/jobs/7850909	pipeline	Typeform — Senior Data Platform Engineer — Spain/Germany/Ireland/Netherlands/UK Remote
13	https://job-boards.greenhouse.io/runpod/jobs/5229443008	pipeline	RunPod — Site Reliability Engineer — Remote, USA
14	https://jobs.ashbyhq.com/supabase/b7206c22-979f-444a-809b-e70d9ee23c7f	pipeline	Supabase — Software Engineer: IaC Platform Experience — Remote
15	https://job-boards.greenhouse.io/gitlab/jobs/8504232002	pipeline	GitLab — Site Reliability Engineer, Environment Automation — Remote, Canada + US
16	https://boards.greenhouse.io/cloudflare/jobs/7649981?gh_jid=7649981	pipeline	Cloudflare — Network Reliability Engineer — Hybrid
17	https://jobs.ashbyhq.com/supabase/3d788231-c984-4bf7-bd8f-ca242988db4f	pipeline	Supabase — Head of Observability — Remote
18	https://job-boards.greenhouse.io/canonical/jobs/4086684	pipeline	Canonical — Software Engineering Manager - Container and Virtualisation Infrastructure — Americas + EMEA
19	https://job-boards.greenhouse.io/airtable/jobs/8485839002	pipeline	Airtable — Director, Technical Account Management — 
20	https://job-boards.greenhouse.io/vercel/jobs/5701765004	pipeline	Vercel — Engineering Manager, CDN — 
21	https://job-boards.greenhouse.io/runpod/jobs/5221401008	pipeline	RunPod — Director, Revenue Operations — 
22	https://job-boards.greenhouse.io/hightouch/jobs/5999976004	pipeline	Hightouch — Engineering Manager, Customer Studio — 
23	https://job-boards.greenhouse.io/hightouch/jobs/5835944004	pipeline	Hightouch — Engineering Manager, Destinations — 
24	https://coreweave.com/careers/job?4685542006&board=coreweave&gh_jid=4685542006	pipeline	CoreWeave — Regional Director - U.S. East Data Center Operations — 
25	https://coreweave.com/careers/job?4678827006&board=coreweave&gh_jid=4678827006	pipeline	CoreWeave — Regional Director, US South Central, Data Center Operations — 
26	https://job-boards.greenhouse.io/gitlab/jobs/8521684002	pipeline	GitLab — Candidate Experience Specialist, Contractor — 
27	https://job-boards.greenhouse.io/gitlab/jobs/8510488002	pipeline	GitLab — Director, Enterprise Architecture & Intelligent Automation — 
28	https://job-boards.greenhouse.io/gitlab/jobs/8537864002	pipeline	GitLab — Director of Engineering, Workflows & Runners — 
29	https://job-boards.greenhouse.io/gitlab/jobs/8482744002	pipeline	GitLab — Engineering Manager, Continuous Delivery — 
30	https://job-boards.greenhouse.io/gitlab/jobs/8463917002	pipeline	GitLab — Engineering Manager, Gitlab Delivery: Upgrades — 
31	https://job-boards.greenhouse.io/gitlab/jobs/8339221002	pipeline	GitLab — Engineering Manager, Software Supply Chain Security: Pipeline Security — 
32	https://job-boards.greenhouse.io/gitlab/jobs/8478405002	pipeline	GitLab — Engineering Manager, SSCS: Supply Chain — 
33	https://job-boards.greenhouse.io/gitlab/jobs/8493679002	pipeline	GitLab — Field CTO, Public Sector — 
34	https://job-boards.greenhouse.io/gitlab/jobs/8496880002	pipeline	GitLab — Field CTO - US West — 
35	https://job-boards.greenhouse.io/gitlab/jobs/8561219002	pipeline	GitLab — Senior Director, Solution Architecture - North America — 
36	https://job-boards.greenhouse.io/gitlab/jobs/8525960002	pipeline	GitLab — Senior Solutions Architect — 
37	https://job-boards.greenhouse.io/gitlab/jobs/8506618002	pipeline	GitLab — Staff Technical Program Manager — 
38	https://jobs.ashbyhq.com/render/a88f8400-b3c5-40b2-86a8-37c93044c287	pipeline	Render — Engineering Manager, Product — 
39	https://jobs.ashbyhq.com/render/9d421b1a-ef3e-4404-bc9f-9b41b53fcffb	pipeline	Render — Engineering Manager, Expansion — 
40	https://boards.greenhouse.io/cloudflare/jobs/7588061?gh_jid=7588061	pipeline	Cloudflare — Country Director, India — 
41	https://boards.greenhouse.io/cloudflare/jobs/7964653?gh_jid=7964653	pipeline	Cloudflare — Project Manager, Public Sector — 
42	https://boards.greenhouse.io/cloudflare/jobs/7530475?gh_jid=7530475	pipeline	Cloudflare — Senior Solutions Engineer, Public Sector Federal — 
43	https://careers.datadoghq.com/detail/7852747/?gh_jid=7852747	pipeline	Datadog — Director, Compensation Programs — 
44	https://careers.datadoghq.com/detail/7821252/?gh_jid=7821252	pipeline	Datadog — Director, Head of Global Benefits — 
45	https://careers.datadoghq.com/detail/7707345/?gh_jid=7707345	pipeline	Datadog — Director, Technical Support Engineering — 
46	https://careers.datadoghq.com/detail/7514534/?gh_jid=7514534	pipeline	Datadog — Director, User Research - Product Design — 
47	https://careers.datadoghq.com/detail/7958663/?gh_jid=7958663	pipeline	Datadog — Engineering Manager I, Threat Detection — 
48	https://careers.datadoghq.com/detail/7899179/?gh_jid=7899179	pipeline	Datadog — Senior Director, Creative — 
49	https://job-boards.greenhouse.io/canonical/jobs/7410479	pipeline	Canonical — Cloud Field Engineering Manager — 
50	https://job-boards.greenhouse.io/canonical/jobs/6366166	pipeline	Canonical — Dell Global Alliance Director — 
51	https://job-boards.greenhouse.io/canonical/jobs/6460571	pipeline	Canonical — Director, Talent Analytics — 
52	https://job-boards.greenhouse.io/canonical/jobs/7646448	pipeline	Canonical — Engineering Director - Business Data — 
53	https://job-boards.greenhouse.io/canonical/jobs/7646454	pipeline	Canonical — Engineering Director - Commercial Systems — 
54	https://job-boards.greenhouse.io/canonical/jobs/5188002	pipeline	Canonical — Engineering Manager — 
55	https://job-boards.greenhouse.io/canonical/jobs/6215502	pipeline	Canonical — Engineering Manager - AppArmor — 
56	https://job-boards.greenhouse.io/canonical/jobs/5127399	pipeline	Canonical — Engineering Manager - App Stores — 
57	https://job-boards.greenhouse.io/canonical/jobs/4175808	pipeline	Canonical — Engineering Manager- Ceph & Distributed Storage — 
58	https://job-boards.greenhouse.io/canonical/jobs/3657756	pipeline	Canonical — Engineering Manager, Commercial Systems — 
59	https://job-boards.greenhouse.io/canonical/jobs/5869156	pipeline	Canonical — Engineering Manager for IAM (Identity and Access Management) — 
60	https://job-boards.greenhouse.io/canonical/jobs/4676823	pipeline	Canonical — Engineering Manager, Managed Services — 
61	https://job-boards.greenhouse.io/canonical/jobs/4810491	pipeline	Canonical — Engineering Manager - MLOps & Analytics — 
62	https://job-boards.greenhouse.io/canonical/jobs/4144793	pipeline	Canonical — Engineering Manager - Public Cloud, Python, Golang — 
63	https://job-boards.greenhouse.io/canonical/jobs/3740499	pipeline	Canonical — Engineering Manager - Python and K8s — 
64	https://job-boards.greenhouse.io/canonical/jobs/6215514	pipeline	Canonical — Engineering Manager - Security Standards and Hardening — 
65	https://job-boards.greenhouse.io/canonical/jobs/3313558	pipeline	Canonical — Engineering Manager - Solutions Engineering — 
66	https://job-boards.greenhouse.io/canonical/jobs/5612564	pipeline	Canonical — Engineering Manager - Ubuntu Core — 
67	https://job-boards.greenhouse.io/canonical/jobs/7732724	pipeline	Canonical — Engineering Manager - Ubuntu Desktop Apps — 
68	https://job-boards.greenhouse.io/canonical/jobs/4192903	pipeline	Canonical — Engineering Manager - Ubuntu Security — 
69	https://job-boards.greenhouse.io/canonical/jobs/4754075	pipeline	Canonical — Engineering Manager - Web — 
70	https://job-boards.greenhouse.io/canonical/jobs/5894889	pipeline	Canonical — GitOps Engineering Manager — 
71	https://job-boards.greenhouse.io/canonical/jobs/5692058	pipeline	Canonical — Golang Engineering Manager, Commercial Systems — 
72	https://job-boards.greenhouse.io/canonical/jobs/6950222	pipeline	Canonical — IBM Global Alliance Director — 
73	https://job-boards.greenhouse.io/canonical/jobs/4676858	pipeline	Canonical — OpenStack Engineering Manager — 
74	https://job-boards.greenhouse.io/canonical/jobs/5692059	pipeline	Canonical — Python Engineering Manager, Commercial Systems — 
75	https://job-boards.greenhouse.io/canonical/jobs/7607786	pipeline	Canonical — Software Alliances Director, Americas — 
76	https://job-boards.greenhouse.io/canonical/jobs/6300377	pipeline	Canonical — Software Alliances Director, EMEA — 
77	https://job-boards.greenhouse.io/canonical/jobs/5211861	pipeline	Canonical — Software Engineering Director — 
78	https://job-boards.greenhouse.io/canonical/jobs/4283003	pipeline	Canonical — Software Engineering Manager (Backend SaaS) — 
79	https://job-boards.greenhouse.io/canonical/jobs/4410480	pipeline	Canonical — Software Engineering Manager - Sustaining Engineering — 
80	https://job-boards.greenhouse.io/canonical/jobs/6854119	pipeline	Canonical — Support Engineering Manager — 
81	https://job-boards.greenhouse.io/canonical/jobs/7778744	pipeline	Canonical — Telco Field Engineering Director — 
82	https://job-boards.greenhouse.io/canonical/jobs/7521220	pipeline	Canonical — Ubuntu Engineering Manager — 
83	https://job-boards.greenhouse.io/caylent/jobs/5985806004	pipeline	Caylent — AI/ML Engineering Manager — 
84	https://job-boards.greenhouse.io/caylent/jobs/6010596004	pipeline	Caylent — Customer Solutions Architect — 
85	https://job-boards.greenhouse.io/caylent/jobs/5826044004	pipeline	Caylent — Data Practice Director — 
86	https://job-boards.greenhouse.io/caylent/jobs/5571578004	pipeline	Caylent — Director of Cloud Native Applications — 
87	https://job-boards.greenhouse.io/caylent/jobs/5722444004	pipeline	Caylent — Engineering Manager — 
88	https://job-boards.greenhouse.io/caylent/jobs/5722443004	pipeline	Caylent — Engineering Manager — 
89	https://job-boards.greenhouse.io/caylent/jobs/4937606004	pipeline	Caylent — Engineering Manager - Data — 
90	https://job-boards.greenhouse.io/caylent/jobs/4415217004	pipeline	Caylent — Engineering Manager - Data — 
91	https://job-boards.greenhouse.io/caylent/jobs/5535509004	pipeline	Caylent — Principal Cloud Architect — 
92	https://job-boards.greenhouse.io/caylent/jobs/5133417004	pipeline	Caylent — Senior Cloud Architect - Not an Active Opening, Building Talent Pipeline — 
93	https://jobs.elastic.co/jobs?gh_jid=7968189&gh_jid=7968189	pipeline	Elastic — ABM Manager, Global Public Sector — 
94	https://jobs.elastic.co/jobs?gh_jid=7885940&gh_jid=7885940	pipeline	Elastic — Global PR Director, US — 
95	https://jobs.elastic.co/jobs?gh_jid=7992591&gh_jid=7992591	pipeline	Elastic — Principal Product Manager Infrastructure, Observability — 
96	https://jobs.elastic.co/jobs?gh_jid=7843340&gh_jid=7843340	pipeline	Elastic — Principal Software Engineer (Networking) - Platform — 
97	https://jobs.elastic.co/jobs?gh_jid=7843348&gh_jid=7843348	pipeline	Elastic — Principal Software Engineer - Vector Search - Elasticsearch — 
98	https://jobs.elastic.co/jobs?gh_jid=7721569&gh_jid=7721569	pipeline	Elastic — Senior Security Compliance Analyst - Public Sector - Information Security — 
99	https://jobs.elastic.co/jobs?gh_jid=7573961&gh_jid=7573961	pipeline	Elastic — Senior Software Engineer - Vector Search - Elasticsearch — 
