id	url	status	started_at	completed_at	report_num	score	error	retries
3	https://job-boards.greenhouse.io/canonical/jobs/4676649	completed	2026-06-12T18:32:52Z	2026-06-12T18:37:39Z	2.8	-	0	
1	https://jobs.lever.co/dlocal/1244cc72-c553-40ce-ac1a-afc2a5bb4dc3	completed	2026-06-12T18:32:52Z	2026-06-12T18:38:25Z	2.6	-	0	
2	https://job-boards.greenhouse.io/canonical/jobs/5739500	completed	2026-06-12T18:32:52Z	2026-06-12T18:38:26Z	2.6	-	0	
4	https://job-boards.greenhouse.io/canonical/jobs/5915936	completed	2026-06-12T18:37:41Z	2026-06-12T18:42:37Z	2.4	-	0	
6	https://jobs.ashbyhq.com/resend/cde17f7c-4c70-435f-be38-ef5abe94ff22	completed	2026-06-12T18:38:27Z	2026-06-12T18:43:48Z	2.0	-	0	
5	https://jobs.ashbyhq.com/supabase/847a7bd7-6b75-444a-aeda-d0b28a11c764	completed	2026-06-12T18:38:26Z	2026-06-12T18:43:48Z	2.5	-	0	
8	https://jobs.ashbyhq.com/workos/26a54ffa-9465-4d13-bc5f-db41a2bbe505	failed	2026-06-12T18:43:49Z	2026-06-12T18:44:39Z	-	You've hit your session limit · resets 8:20pm (America/Buenos_Aires) 	1	
10	https://jobs.ashbyhq.com/inngest/ae72d036-b98b-4abb-8454-a687870cf0ca	failed	2026-06-12T18:44:40Z	2026-06-12T18:44:42Z	-	You've hit your session limit · resets 8:20pm (America/Buenos_Aires) 	1	
11	https://job-boards.greenhouse.io/typeform/jobs/7686285	failed	2026-06-12T18:44:43Z	2026-06-12T18:44:45Z	-	You've hit your session limit · resets 8:20pm (America/Buenos_Aires) 	1	
12	https://job-boards.greenhouse.io/typeform/jobs/7850909	failed	2026-06-12T18:44:46Z	2026-06-12T18:44:48Z	-	You've hit your session limit · resets 8:20pm (America/Buenos_Aires) 	1	
13	https://job-boards.greenhouse.io/runpod/jobs/5229443008	failed	2026-06-12T18:44:49Z	2026-06-12T18:44:51Z	-	You've hit your session limit · resets 8:20pm (America/Buenos_Aires) 	1	
14	https://jobs.ashbyhq.com/supabase/b7206c22-979f-444a-809b-e70d9ee23c7f	failed	2026-06-12T18:44:52Z	2026-06-12T18:44:54Z	-	You've hit your session limit · resets 8:20pm (America/Buenos_Aires) 	1	
15	https://job-boards.greenhouse.io/gitlab/jobs/8504232002	failed	2026-06-12T18:44:55Z	2026-06-12T18:44:57Z	-	You've hit your session limit · resets 8:20pm (America/Buenos_Aires) 	1	
16	https://boards.greenhouse.io/cloudflare/jobs/7649981?gh_jid=7649981	failed	2026-06-12T18:44:58Z	2026-06-12T18:45:00Z	-	You've hit your session limit · resets 8:20pm (America/Buenos_Aires) 	1	
9	https://jobs.ashbyhq.com/workos/7757900a-02fb-40fd-b484-923bcffd91bf	failed	2026-06-12T18:43:49Z	2026-06-12T18:45:01Z	-	You've hit your session limit · resets 8:20pm (America/Buenos_Aires) 	1	
17	https://jobs.ashbyhq.com/supabase/3d788231-c984-4bf7-bd8f-ca242988db4f	failed	2026-06-12T18:45:01Z	2026-06-12T18:45:03Z	-	You've hit your session limit · resets 8:20pm (America/Buenos_Aires) 	1	
18	https://job-boards.greenhouse.io/canonical/jobs/4086684	failed	2026-06-12T18:45:03Z	2026-06-12T18:45:05Z	-	You've hit your session limit · resets 8:20pm (America/Buenos_Aires) 	1	
19	https://job-boards.greenhouse.io/airtable/jobs/8485839002	failed	2026-06-12T18:45:04Z	2026-06-12T18:45:06Z	-	You've hit your session limit · resets 8:20pm (America/Buenos_Aires) 	1	
20	https://job-boards.greenhouse.io/vercel/jobs/5701765004	failed	2026-06-12T18:45:06Z	2026-06-12T18:45:09Z	-	You've hit your session limit · resets 8:20pm (America/Buenos_Aires) 	1	
21	https://job-boards.greenhouse.io/runpod/jobs/5221401008	failed	2026-06-12T18:45:07Z	2026-06-12T18:45:09Z	-	You've hit your session limit · resets 8:20pm (America/Buenos_Aires) 	1	
22	https://job-boards.greenhouse.io/hightouch/jobs/5999976004	failed	2026-06-12T18:45:10Z	2026-06-12T18:45:12Z	-	You've hit your session limit · resets 8:20pm (America/Buenos_Aires) 	1	
23	https://job-boards.greenhouse.io/hightouch/jobs/5835944004	failed	2026-06-12T18:45:10Z	2026-06-12T18:45:12Z	-	You've hit your session limit · resets 8:20pm (America/Buenos_Aires) 	1	
24	https://coreweave.com/careers/job?4685542006&board=coreweave&gh_jid=4685542006	failed	2026-06-12T18:45:13Z	2026-06-12T18:45:15Z	-	You've hit your session limit · resets 8:20pm (America/Buenos_Aires) 	1	
25	https://coreweave.com/careers/job?4678827006&board=coreweave&gh_jid=4678827006	failed	2026-06-12T18:45:14Z	2026-06-12T18:45:16Z	-	You've hit your session limit · resets 8:20pm (America/Buenos_Aires) 	1	
26	https://job-boards.greenhouse.io/gitlab/jobs/8521684002	failed	2026-06-12T18:45:16Z	2026-06-12T18:45:18Z	-	You've hit your session limit · resets 8:20pm (America/Buenos_Aires) 	1	
27	https://job-boards.greenhouse.io/gitlab/jobs/8510488002	failed	2026-06-12T18:45:17Z	2026-06-12T18:45:19Z	-	You've hit your session limit · resets 8:20pm (America/Buenos_Aires) 	1	
28	https://job-boards.greenhouse.io/gitlab/jobs/8537864002	failed	2026-06-12T18:45:19Z	2026-06-12T18:45:21Z	-	You've hit your session limit · resets 8:20pm (America/Buenos_Aires) 	1	
29	https://job-boards.greenhouse.io/gitlab/jobs/8482744002	failed	2026-06-12T18:45:20Z	2026-06-12T18:45:22Z	-	You've hit your session limit · resets 8:20pm (America/Buenos_Aires) 	1	
30	https://job-boards.greenhouse.io/gitlab/jobs/8463917002	failed	2026-06-12T18:45:22Z	2026-06-12T18:45:24Z	-	You've hit your session limit · resets 8:20pm (America/Buenos_Aires) 	1	
31	https://job-boards.greenhouse.io/gitlab/jobs/8339221002	failed	2026-06-12T18:45:23Z	2026-06-12T18:45:25Z	-	You've hit your session limit · resets 8:20pm (America/Buenos_Aires) 	1	
32	https://job-boards.greenhouse.io/gitlab/jobs/8478405002	failed	2026-06-12T18:45:25Z	2026-06-12T18:45:27Z	-	You've hit your session limit · resets 8:20pm (America/Buenos_Aires) 	1	
33	https://job-boards.greenhouse.io/gitlab/jobs/8493679002	failed	2026-06-12T18:45:26Z	2026-06-12T18:45:28Z	-	You've hit your session limit · resets 8:20pm (America/Buenos_Aires) 	1	
34	https://job-boards.greenhouse.io/gitlab/jobs/8496880002	failed	2026-06-12T18:45:28Z	2026-06-12T18:45:30Z	-	You've hit your session limit · resets 8:20pm (America/Buenos_Aires) 	1	
35	https://job-boards.greenhouse.io/gitlab/jobs/8561219002	failed	2026-06-12T18:45:29Z	2026-06-12T18:45:31Z	-	You've hit your session limit · resets 8:20pm (America/Buenos_Aires) 	1	
36	https://job-boards.greenhouse.io/gitlab/jobs/8525960002	failed	2026-06-12T18:45:31Z	2026-06-12T18:45:33Z	-	You've hit your session limit · resets 8:20pm (America/Buenos_Aires) 	1	
37	https://job-boards.greenhouse.io/gitlab/jobs/8506618002	failed	2026-06-12T18:45:32Z	2026-06-12T18:45:34Z	-	You've hit your session limit · resets 8:20pm (America/Buenos_Aires) 	1	
38	https://jobs.ashbyhq.com/render/a88f8400-b3c5-40b2-86a8-37c93044c287	failed	2026-06-12T18:45:34Z	2026-06-12T18:45:36Z	-	You've hit your session limit · resets 8:20pm (America/Buenos_Aires) 	1	
39	https://jobs.ashbyhq.com/render/9d421b1a-ef3e-4404-bc9f-9b41b53fcffb	failed	2026-06-12T18:45:35Z	2026-06-12T18:45:37Z	-	You've hit your session limit · resets 8:20pm (America/Buenos_Aires) 	1	
40	https://boards.greenhouse.io/cloudflare/jobs/7588061?gh_jid=7588061	failed	2026-06-12T18:45:37Z	2026-06-12T18:45:39Z	-	You've hit your session limit · resets 8:20pm (America/Buenos_Aires) 	1	
41	https://boards.greenhouse.io/cloudflare/jobs/7964653?gh_jid=7964653	failed	2026-06-12T18:45:38Z	2026-06-12T18:45:40Z	-	You've hit your session limit · resets 8:20pm (America/Buenos_Aires) 	1	
44	https://careers.datadoghq.com/detail/7821252/?gh_jid=7821252	failed	2026-06-12T18:45:42Z	2026-06-12T18:45:44Z	-	You've hit your session limit · resets 8:20pm (America/Buenos_Aires) 	1	
43	https://careers.datadoghq.com/detail/7852747/?gh_jid=7852747	failed	2026-06-12T18:45:42Z	2026-06-12T18:45:45Z	-	You've hit your session limit · resets 8:20pm (America/Buenos_Aires) 	1	
45	https://careers.datadoghq.com/detail/7707345/?gh_jid=7707345	failed	2026-06-12T18:45:46Z	2026-06-12T18:45:47Z	-	You've hit your session limit · resets 8:20pm (America/Buenos_Aires) 	1	
46	https://careers.datadoghq.com/detail/7514534/?gh_jid=7514534	failed	2026-06-12T18:45:47Z	2026-06-12T18:45:48Z	-	You've hit your session limit · resets 8:20pm (America/Buenos_Aires) 	1	
47	https://careers.datadoghq.com/detail/7958663/?gh_jid=7958663	failed	2026-06-12T18:45:49Z	2026-06-12T18:45:51Z	-	You've hit your session limit · resets 8:20pm (America/Buenos_Aires) 	1	
48	https://careers.datadoghq.com/detail/7899179/?gh_jid=7899179	failed	2026-06-12T18:45:50Z	2026-06-12T18:45:51Z	-	You've hit your session limit · resets 8:20pm (America/Buenos_Aires) 	1	
49	https://job-boards.greenhouse.io/canonical/jobs/7410479	failed	2026-06-12T18:45:53Z	2026-06-12T18:45:55Z	-	You've hit your session limit · resets 8:20pm (America/Buenos_Aires) 	1	
50	https://job-boards.greenhouse.io/canonical/jobs/6366166	failed	2026-06-12T18:45:53Z	2026-06-12T18:45:55Z	-	You've hit your session limit · resets 8:20pm (America/Buenos_Aires) 	1	
51	https://job-boards.greenhouse.io/canonical/jobs/6460571	failed	2026-06-12T18:45:56Z	2026-06-12T18:45:57Z	-	You've hit your session limit · resets 8:20pm (America/Buenos_Aires) 	1	
52	https://job-boards.greenhouse.io/canonical/jobs/7646448	failed	2026-06-12T18:45:57Z	2026-06-12T18:45:58Z	-	You've hit your session limit · resets 8:20pm (America/Buenos_Aires) 	1	
53	https://job-boards.greenhouse.io/canonical/jobs/7646454	failed	2026-06-12T18:45:59Z	2026-06-12T18:46:00Z	-	You've hit your session limit · resets 8:20pm (America/Buenos_Aires) 	1	
54	https://job-boards.greenhouse.io/canonical/jobs/5188002	failed	2026-06-12T18:46:00Z	2026-06-12T18:46:02Z	-	You've hit your session limit · resets 8:20pm (America/Buenos_Aires) 	1	
55	https://job-boards.greenhouse.io/canonical/jobs/6215502	failed	2026-06-12T18:46:02Z	2026-06-12T18:46:03Z	-	You've hit your session limit · resets 8:20pm (America/Buenos_Aires) 	1	
56	https://job-boards.greenhouse.io/canonical/jobs/5127399	failed	2026-06-12T18:46:03Z	2026-06-12T18:46:04Z	-	You've hit your session limit · resets 8:20pm (America/Buenos_Aires) 	1	
57	https://job-boards.greenhouse.io/canonical/jobs/4175808	failed	2026-06-12T18:46:05Z	2026-06-12T18:46:07Z	-	You've hit your session limit · resets 8:20pm (America/Buenos_Aires) 	1	
58	https://job-boards.greenhouse.io/canonical/jobs/3657756	failed	2026-06-12T18:46:06Z	2026-06-12T18:46:08Z	-	You've hit your session limit · resets 8:20pm (America/Buenos_Aires) 	1	
59	https://job-boards.greenhouse.io/canonical/jobs/5869156	failed	2026-06-12T18:46:08Z	2026-06-12T18:46:10Z	-	You've hit your session limit · resets 8:20pm (America/Buenos_Aires) 	1	
60	https://job-boards.greenhouse.io/canonical/jobs/4676823	failed	2026-06-12T18:46:09Z	2026-06-12T18:46:11Z	-	You've hit your session limit · resets 8:20pm (America/Buenos_Aires) 	1	
61	https://job-boards.greenhouse.io/canonical/jobs/4810491	failed	2026-06-12T18:46:11Z	2026-06-12T18:46:13Z	-	You've hit your session limit · resets 8:20pm (America/Buenos_Aires) 	1	
62	https://job-boards.greenhouse.io/canonical/jobs/4144793	failed	2026-06-12T18:46:12Z	2026-06-12T18:46:14Z	-	You've hit your session limit · resets 8:20pm (America/Buenos_Aires) 	1	
63	https://job-boards.greenhouse.io/canonical/jobs/3740499	failed	2026-06-12T18:46:14Z	2026-06-12T18:46:17Z	-	You've hit your session limit · resets 8:20pm (America/Buenos_Aires) 	1	
64	https://job-boards.greenhouse.io/canonical/jobs/6215514	failed	2026-06-12T18:46:15Z	2026-06-12T18:46:17Z	-	You've hit your session limit · resets 8:20pm (America/Buenos_Aires) 	1	
66	https://job-boards.greenhouse.io/canonical/jobs/5612564	failed	2026-06-12T18:46:18Z	2026-06-12T18:46:20Z	-	You've hit your session limit · resets 8:20pm (America/Buenos_Aires) 	1	
65	https://job-boards.greenhouse.io/canonical/jobs/3313558	failed	2026-06-12T18:46:18Z	2026-06-12T18:46:20Z	-	You've hit your session limit · resets 8:20pm (America/Buenos_Aires) 	1	
67	https://job-boards.greenhouse.io/canonical/jobs/7732724	failed	2026-06-12T18:46:21Z	2026-06-12T18:46:23Z	-	You've hit your session limit · resets 8:20pm (America/Buenos_Aires) 	1	
68	https://job-boards.greenhouse.io/canonical/jobs/4192903	failed	2026-06-12T18:46:22Z	2026-06-12T18:46:24Z	-	You've hit your session limit · resets 8:20pm (America/Buenos_Aires) 	1	
69	https://job-boards.greenhouse.io/canonical/jobs/4754075	failed	2026-06-12T18:46:24Z	2026-06-12T18:46:26Z	-	You've hit your session limit · resets 8:20pm (America/Buenos_Aires) 	1	
70	https://job-boards.greenhouse.io/canonical/jobs/5894889	failed	2026-06-12T18:46:25Z	2026-06-12T18:46:27Z	-	You've hit your session limit · resets 8:20pm (America/Buenos_Aires) 	1	
71	https://job-boards.greenhouse.io/canonical/jobs/5692058	failed	2026-06-12T18:46:27Z	2026-06-12T18:46:29Z	-	You've hit your session limit · resets 8:20pm (America/Buenos_Aires) 	1	
72	https://job-boards.greenhouse.io/canonical/jobs/6950222	failed	2026-06-12T18:46:29Z	2026-06-12T18:46:31Z	-	You've hit your session limit · resets 8:20pm (America/Buenos_Aires) 	1	
73	https://job-boards.greenhouse.io/canonical/jobs/4676858	failed	2026-06-12T18:46:30Z	2026-06-12T18:46:32Z	-	You've hit your session limit · resets 8:20pm (America/Buenos_Aires) 	1	
74	https://job-boards.greenhouse.io/canonical/jobs/5692059	failed	2026-06-12T18:46:32Z	2026-06-12T18:46:34Z	-	You've hit your session limit · resets 8:20pm (America/Buenos_Aires) 	1	
75	https://job-boards.greenhouse.io/canonical/jobs/7607786	failed	2026-06-12T18:46:33Z	2026-06-12T18:46:35Z	-	You've hit your session limit · resets 8:20pm (America/Buenos_Aires) 	1	
76	https://job-boards.greenhouse.io/canonical/jobs/6300377	failed	2026-06-12T18:46:35Z	2026-06-12T18:46:37Z	-	You've hit your session limit · resets 8:20pm (America/Buenos_Aires) 	1	
77	https://job-boards.greenhouse.io/canonical/jobs/5211861	failed	2026-06-12T18:46:36Z	2026-06-12T18:46:38Z	-	You've hit your session limit · resets 8:20pm (America/Buenos_Aires) 	1	
78	https://job-boards.greenhouse.io/canonical/jobs/4283003	failed	2026-06-12T18:46:38Z	2026-06-12T18:46:40Z	-	You've hit your session limit · resets 8:20pm (America/Buenos_Aires) 	1	
79	https://job-boards.greenhouse.io/canonical/jobs/4410480	failed	2026-06-12T18:46:39Z	2026-06-12T18:46:41Z	-	You've hit your session limit · resets 8:20pm (America/Buenos_Aires) 	1	
81	https://job-boards.greenhouse.io/canonical/jobs/7778744	failed	2026-06-12T18:46:42Z	2026-06-12T18:46:44Z	-	You've hit your session limit · resets 8:20pm (America/Buenos_Aires) 	1	
80	https://job-boards.greenhouse.io/canonical/jobs/6854119	failed	2026-06-12T18:46:42Z	2026-06-12T18:46:44Z	-	You've hit your session limit · resets 8:20pm (America/Buenos_Aires) 	1	
82	https://job-boards.greenhouse.io/canonical/jobs/7521220	failed	2026-06-12T18:46:45Z	2026-06-12T18:46:47Z	-	You've hit your session limit · resets 8:20pm (America/Buenos_Aires) 	1	
83	https://job-boards.greenhouse.io/caylent/jobs/5985806004	failed	2026-06-12T18:46:46Z	2026-06-12T18:46:48Z	-	You've hit your session limit · resets 8:20pm (America/Buenos_Aires) 	1	
84	https://job-boards.greenhouse.io/caylent/jobs/6010596004	failed	2026-06-12T18:46:49Z	2026-06-12T18:46:51Z	-	You've hit your session limit · resets 8:20pm (America/Buenos_Aires) 	1	
85	https://job-boards.greenhouse.io/caylent/jobs/5826044004	failed	2026-06-12T18:46:49Z	2026-06-12T18:46:52Z	-	You've hit your session limit · resets 8:20pm (America/Buenos_Aires) 	1	
86	https://job-boards.greenhouse.io/caylent/jobs/5571578004	failed	2026-06-12T18:46:53Z	2026-06-12T18:46:55Z	-	You've hit your session limit · resets 8:20pm (America/Buenos_Aires) 	1	
87	https://job-boards.greenhouse.io/caylent/jobs/5722444004	failed	2026-06-12T18:46:53Z	2026-06-12T18:46:55Z	-	You've hit your session limit · resets 8:20pm (America/Buenos_Aires) 	1	
89	https://job-boards.greenhouse.io/caylent/jobs/4937606004	failed	2026-06-12T18:46:57Z	2026-06-12T18:46:59Z	-	You've hit your session limit · resets 8:20pm (America/Buenos_Aires) 	1	
